,Brand,Generic,Uses
0,8hr arthritis pain,Acetaminophen,"This drug is used to treat mild to moderate pain (from headaches, menstrual periods, toothaches, backaches, osteoarthritis, or cold/flu aches and pains) and to reduce fever."
1,a & d,Vitamins A And D,"This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (e.g., diaper rash, skin burns from radiation therapy). Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Some products (e.g., zinc oxide, white petrolatum) are used mostly to protect the skin against irritation (e.g., from wetness). Dry skin is caused by a loss of water in the upper layer of the skin. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil and dimethicone are common emollients. Humectants, including glycerin, lecithin, and propylene glycol, draw water into the outer layer of skin. Many products also have ingredients that soften the horny substance (keratin) that holds the top layer of skin cells together (including urea, alpha hydroxy acids such as lactic/citric/glycolic acid, and allantoin). This helps the dead skin cells fall off, helps the skin keep in more water, and leaves the skin feeling smoother and softer."
2,a & d diaper rash,"Dimethic/Zinc Ox/Vits A,D/Aloe",Drug uses not available
3,a-hydrocort,Hydrocortisone Sod Succinate,"This medication is used to treat various conditions such as arthritis, severe allergies, blood diseases, breathing problems, certain cancers, eye diseases, intestinal disorders, and skin diseases. It weakens your immune system's response to various diseases to reduce symptoms such as swelling and allergic-type reactions. Hydrocortisone may also be used with other medications to replace certain hormones if you have decreased adrenal gland function or Addison's disease. Hydrocortisone belongs to a class of drugs known as corticosteroids. Hydrocortisone injection is used when a similar drug cannot be taken by mouth or when a very fast treatment is needed for patients with severe medical conditions. Talk to your doctor about the risks and benefits of hydrocortisone, especially if it is to be injected near your spine (epidural). Rare but serious side effects may occur with epidural use."
4,a-methapred,Methylprednisolone Sod Succ,"This medication is used to treat conditions such as arthritis, blood disorders, severe allergic reactions, certain cancers, eye conditions, skin/kidney/intestinal/lung diseases, and immune system disorders. It decreases your immune system's response to various diseases to reduce symptoms such as swelling, pain, and allergic-type reactions. Methylprednisolone is a corticosteroid hormone. This injectable form of methylprednisolone is used when a similar drug cannot be taken by mouth or when a very fast response is needed, especially in patients with severe medical conditions. Talk to your doctor about the risks and benefits of methylprednisolone, especially if it is to be injected near your spine (epidural). Rare but serious side effects may occur with epidural use. Methylprednisolone may also be used with other medications in hormone disorders."
5,abacavir,Abacavir Sulfate,"This drug is used with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Abacavir belongs to a class of drugs known as nucleoside reverse transcriptase inhibitors-NRTI. Abacavir is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, continue to take all HIV medications exactly as prescribed by your doctor. Use an effective barrier method (latex or polyurethane condoms/dental dams) during sexual activity as directed by your doctor. Do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details."
6,abacavir-lamivudine,Abacavir Sulfate/Lamivudine,"This product contains 2 drugs: abacavir and lamivudine. It is used with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Abacavir and lamivudine both belong to a class of drugs known as nucleoside reverse transcriptase inhibitors (NRTIs). Abacavir/lamivudine is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, continue to take all HIV medications exactly as prescribed by your doctor. Use an effective barrier method (latex or polyurethane condoms/dental dams) during sexual activity as directed by your doctor. Do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details."
7,abacavir-lamivudine-zidovudine,Abacavir/Lamivudine/Zidovudine,"This product contains 3 drugs: abacavir, lamivudine, and zidovudine. It is used alone or with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Abacavir, lamivudine, and zidovudine all belong to a class of drugs known as nucleoside reverse transcriptase inhibitors (NRTIs). Abacavir/lamivudine/zidovudine is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, continue to take all HIV medications exactly as prescribed by your doctor. Use an effective barrier method (latex or polyurethane condoms/dental dams) during sexual activity as directed by your doctor. Do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details."
8,abdek multivitamin,Pediatric Multivit 152/D3/K,"This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
9,abelcet,Amphotericin B Lipid Complex,This medication is used to treat a variety of serious fungal infections. It is often used in patients who cannot tolerate or who do not respond to the regular amphotericin treatment. It works by stopping the growth of fungi.
10,abilify*,Aripiprazole,"Aripiprazole is used to treat certain mental/mood disorders (such as bipolar disorder, schizophrenia, Tourette's syndrome, and irritability associated with autistic disorder). It may also be used in combination with other medication to treat depression. Aripiprazole is known as an antipsychotic drug (atypical type). It works by helping to restore the balance of certain natural chemicals in the brain (neurotransmitters). This medication can decrease hallucinations and improve your concentration. It helps you to think more clearly and positively about yourself, feel less nervous, and take a more active part in everyday life. Aripiprazole can treat severe mood swings and decrease how often mood swings occur."
11,abilify maintena,Aripiprazole,"Extended-release aripiprazole injection is used to treat a mental/mood disorder called schizophrenia. This medication can decrease hallucinations (hearing/seeing things that are not there) and improve your concentration. It also helps you to think more clearly, feel less nervous, and take a more active part in everyday life. Some brands of this medication are also used to treat bipolar disorder. It can help to decrease extreme changes in mood and help you feel less agitated. Extended-release aripiprazole injection is a long-acting psychiatric medication known as an atypical antipsychotic. It works by helping to restore the balance of certain natural substances in the brain."
